POSTED_BY;UNDER_CONSTRUCTION;RERA;BHK_NO.;BHK_OR_RK;SQUARE_FT;READY_TO_MOVE;RESALE;ADDRESS;LONGITUDE;LATITUDE;TARGET(PRICE_IN_LACS)
Dealer;0;0;2;BHK;121.980.971;1;1;Narendra Nagar,Nagpur;21.105.779.000.000.000;79.078.497;50.0
Owner;0;0;2;BHK;780.141.844;1;1;Kudgat,Kolkata;2.254.111;8.833.778.000.000.000;27.5
Owner;0;0;3;BHK;1600.0;1;1;Sain Vihar,Ghaziabad;2.863.601;77.433.724;46.0
Dealer;0;0;2;BHK;11.804.123.710.000.000;1;1;Sector-115 Mohali,Mohali;30.712.867;76.648.557;22.9
Owner;1;0;2;BHK;1000.0;0;1;Mohan Asram,Deoghar;24.48;86.7;39.0
Dealer;0;0;2;BHK;1000.0;1;1;Alwar Bypass Road,Bhiwadi;282.102;768.606;12.5
Dealer;0;0;3;BHK;1.400.107.701;1;1;Sector 84 Faridabad,Faridabad;28.404.729.999.999.900;77.367.514;52.0
Dealer;0;1;2;BHK;9.431.266.075.999.990;1;1;Sector-134 Noida,Noida;285.041;77.381.557;33.0
Owner;0;0;2;BHK;11.501.463.820.000.000;1;1;Indra Colony,Jaipur;26.586.306;74.873.234;55.0
Dealer;1;1;1;BHK;8.640.674.393.999.990;0;1;Thane West,Lalitpur;19.18;7.296.333;82.0
Dealer;0;1;2;BHK;8.577.861.968.000.000;1;0;Mulund (West),Maharashtra;191.759;729.522;240.0
Owner;0;0;3;BHK;1.174.210.077;1;1;Thalambur,Chennai;12.852.171;80.216.826;55.0
Dealer;1;1;2;BHK;1.020.087.884;0;1;Wakad,Pune;185.993;737.625;65.0
Owner;0;0;4;BHK;1.650.165.017;1;1;Vasna,Vadodara;22.312.063.000.000.000;72.674.296;65.0
Dealer;1;0;2;BHK;1000.0;0;1;Madhurawada,Visakhapatnam;17.815.234;8.335.818;35.0
Owner;0;0;3;BHK;1.300.052.002;1;1;Vasanthapura,Bangalore;12.894.088;77.548.914;75.0
Dealer;1;1;1;BHK;40.606.195.680.000.000;0;0;Kanjur Marg (East),Lalitpur;24.690.279.999.999.900;7.841.889;9110.0
Dealer;0;1;2;BHK;1.058.114.928;1;1;Sus,Pune;18.539.812;73.737.678;65.0
Dealer;1;0;1;BHK;400.0;0;1;Kharadi,Pune;185.438;739.438;30.0
Dealer;0;1;3;BHK;1.274.924.779;1;1;Marol,Mumbai;22.803.593;83.755.013;250.0
Dealer;0;0;2;BHK;1.026.694.045;1;1;Wadala East,Lalitpur;19.014.858;728.662;220.0
Owner;0;0;2;BHK;1.150.121.065;1;1;Near Ambamata Mandir,Vapi;20.366.670.000.000.000;72.9;38.0
Owner;0;0;3;BHK;1200.0;1;1;Patel Nagar-II,Ghaziabad;28.460.928.000.000.000;7.703.939.100.000.000;60.0
Dealer;0;0;1;RK;47.501.032.630.000.000;1;1;Balkum,Lalitpur;24.690.279.999.999.900;7.841.889;46.0
Builder;1;1;1;BHK;30.191.711.630.000.000;0;0;Taloja,Lalitpur;24.690.279.999.999.900;7.841.889;26.3
Dealer;1;1;2;BHK;12.285.714.289.999.900;0;1;Bolar,Mangalore;12.843.852;74.845.271;51.6
Owner;0;0;2;BHK;9.860.164.934.000.000;1;1;Ayanambakkam,Chennai;13.077.175;80.151.453;55.0
Dealer;1;1;3;BHK;19.725.651.579.999.900;0;1;Sector 88 Faridabad,Faridabad;28.431.862;77.351.104;71.9
Dealer;1;1;1;BHK;4.206.166.888;0;1;Sindhi Society Chembur,Lalitpur;19.048.403;7.288.731;130.0
Owner;0;0;3;BHK;1.275.009.808;1;1;Shiv Mandir,Siliguri;25.232.239;71.392.013;32.5
Dealer;1;1;1;BHK;406.024.219;0;0;Kalyan (West),Maharashtra;19.245.347;73.124.577;39.9
Dealer;0;0;3;BHK;1.862.562.189;1;1;Sector 88 Faridabad,Faridabad;28.431.862;77.351.104;59.9
Owner;0;0;2;BHK;9.500.146.156;1;1;Nandanwan Phases 2,Aurangabad;1.988.879;7.534.344;65.0
Owner;0;1;4;BHK;5.200.945.626;1;1;Sector-76 Noida,Noida;28.567.633;77.383.124;110.0
Dealer;0;0;2;BHK;10.499.693.439.999.900;1;1;Basaveshwara Nagar,Bangalore;12.985.039;7.754.383;68.5
Dealer;0;0;3;BHK;1.615.008.157;1;1;Maniktala,Kolkata;22.589.694;88.372.957;99.0
Dealer;0;0;3;BHK;11.500.069;1;1;Wadala East,Lalitpur;19.014.858;728.662;250.0
Owner;0;0;2;BHK;1100.0;1;1;Jhotwara,Jaipur;26.955.346.000.000.000;7.573.479.300.000.000;27.5
Dealer;1;1;2;BHK;9.062.661.832.999.990;0;0;Balkum,Lalitpur;24.690.279.999.999.900;7.841.889;70.0
Owner;0;0;3;BHK;1.454.333.915;1;1;Poolakkaparambu,Ottapalam;10.77;76.38;50.0
Owner;0;0;3;BHK;1.591.994.542;1;1;Sector-137 Noida,Noida;28.506.453.999.999.900;7.740.956.800.000.000;70.0
Dealer;0;1;2;BHK;5.738.769.151;1;1;Sector 86 Faridabad,Faridabad;28.406.388;77.342.588;22.1
Dealer;0;1;3;BHK;1.038.883.942;1;1;Powai,Mumbai;19.12;72.91;280.0
Owner;0;0;3;BHK;1.538.141.758;1;1;Yelahanka,Bangalore;1.311.389;7.759.833;74.0
Owner;0;0;2;BHK;5000.0;1;1;Malviya Nagar,Jaipur;26.850.391;75.814.198;85.0
Dealer;0;0;3;BHK;1.602.084.012;1;1;Sector 77 Faridabad,Faridabad;28.368.269;7.737.273;49.2
Owner;0;0;2;BHK;1200.0;1;1;Madhuranagar,Vijayawada;1.651.667;8.061.667;45.0
Owner;0;0;2;BHK;7.600.709.400.000.000;1;1;Tilakwadi,Belgaum;15.866.670.000.000.000;74.5;60.0
Owner;1;0;2;BHK;7.398.273.736.000.000;0;1;tallaiya,Bhopal;23.25;7.741.667;30.0
Owner;0;0;2;BHK;126.002.291;1;1;Mulki,Mangalore;130.915;747.844;33.0
Owner;0;0;2;BHK;1.100.151.745;1;1;Manewada,Nagpur;21.093.676.000.000.000;79.111.965;29.0
Dealer;0;1;3;BHK;2.293.077.091;1;1;Kharadi,Pune;185.438;739.438;210.0
Dealer;0;0;2;BHK;1.146.480.331;1;1;Sector-8 Ulwe,Lalitpur;19.216.097;72.821.721;88.6
Dealer;0;1;4;BHK;2.224.059.764;1;1;Goregaon (East),Lalitpur;191.615;728.731;780.0
Dealer;0;0;2;BHK;7.598.784.195.000.000;1;1;Joka,Kolkata;22.452.032;88.298.947;30.0
Owner;0;0;4;BHK;2.260.251.857;1;1;Wilson Garden,Bangalore;129.506;775.952;140.0
Dealer;0;0;3;BHK;7.670.182.167;1;1;DN Nagar,Maharashtra;20.742.166;80.104.602;240.0
Owner;0;0;4;BHK;2500.0;1;1;Ramprastha,Ghaziabad;2.866.667;7.741.667;160.0
Dealer;1;1;4;BHK;22.862.368.539.999.900;0;1;Gomti Nagar Extension,Lucknow;21.0;77.0;100.0
Owner;0;1;2;BHK;1.150.086.256;1;1;Sector-74 Noida,Noida;28.577.672.999.999.900;77.389.781;60.0
Dealer;0;1;2;BHK;1.004.932.182;1;1;New Panvel,Mumbai;18.966.114;73.148.278;81.5
Owner;0;0;2;BHK;800.0;1;1;Prantik,Kolkata;2.256.972;8.836.972;34.0
Dealer;1;0;3;BHK;993.75;0;1;Subhas Pally,Siliguri;26.706.157;88.439.748;31.8
Dealer;0;0;2;BHK;1.298.139.334;1;1;Jatkhedi,Bhopal;23.169.982;77.477.889;30.0
Dealer;0;1;2;BHK;996.797.438;1;1;Raj Nagar Extension,Ghaziabad;26.900.926.000.000.000;75.775.927;24.9
Owner;0;0;2;BHK;9.850.194.951.999.990;1;1;CV Raman Nagar,Bangalore;12.985.560.000.000.000;7.766.389.000.000.000;48.0
Dealer;0;0;3;BHK;1118.75;1;1;Medavakkam,Chennai;1.291.716;8.019.287;53.7
Dealer;0;1;2;BHK;8.898.305.085.000.000;1;1;Sector-137 Noida,Noida;28.506.453.999.999.900;7.740.956.800.000.000;42.0
Owner;0;0;3;BHK;273.822.563;1;1;Basapura,Bangalore;12.863.421;77.652.405;150.0
Dealer;1;1;4;BHK;17.254.901.960.000.000;0;0;Deonar,Maharashtra;19.049.513;7.291.920.400.000.000;440.0
Dealer;1;1;3;BHK;2.488.004.265;0;1;Sector-82 Mohali,Mohali;30.654.128.000.000.000;76.732.427;140.0
Dealer;0;0;3;BHK;1.200.082.764;1;1;Satgachi,Kolkata;23.207.157.000.000.000;88.404.471;58.0
Dealer;0;0;2;BHK;1.584.283.904;1;1;Tilak Nagar,Kanpur;26.459.137;79.506.922;100.0
Owner;0;0;2;BHK;900.0;1;1;Kalol,Gandhinagar;232.257;7.251.679;18.0
Dealer;0;1;2;BHK;1.193.440.032;1;1;Talegaon,Pune;18.441.256;74.647.361;60.4
Owner;0;0;2;BHK;1.487.357.462;1;1;Mansarovar Extension,Jaipur;268.626;757.633;30.0
Owner;1;1;2;BHK;9.899.029.895;0;1;Sector-143 Noida,Noida;285.035;77.426.447;50.0
Dealer;0;0;2;BHK;1.155.020.213;1;1;Bhandup (West),Maharashtra;19.147.866;72.932.609;140.0
Owner;0;0;2;BHK;9.498.931.369.999.990;1;1;Eswaran Koil Street,Pondicherry;11.93;79.83;80.0
Owner;0;0;2;BHK;875.0;1;1;Sector-78 Noida,Noida;28.560.719;77.386.208;49.0
Dealer;0;0;2;BHK;8.533.611.982.000.000;1;1;Ananth Nagar,Bangalore;1.296.991;7.759.796;24.5
Owner;0;0;1;BHK;4.830.917.874;1;1;Roha,Raigad;184.543;731.147;18.0
Dealer;0;0;2;BHK;800.0;1;1;Thane West,Maharashtra;19.18;7.296.333;95.0
Owner;0;0;2;BHK;8.020.415.602.999.990;1;1;Ankur Vihar,Ghaziabad;2.866.667;7.741.667;22.0
Dealer;0;1;2;BHK;6.100.660.905;1;1;Koyambedu,Chennai;13.069.866.000.000.000;8.019.842.299.999.990;48.0
Owner;0;0;3;BHK;1.680.107.527;1;1;Naveen Nagar,Kanpur;28.861.993;78.756.315;75.0
Owner;0;0;2;BHK;1.150.136.038;1;1;Nirman Nagar,Jaipur;19.980.678;79.297.436;93.0
Owner;0;0;3;BHK;1.550.114.497;1;1;Sector-75 Noida,Noida;28.576.117;77.382.136;88.0
Owner;0;0;5;BHK;1.699.834.163;1;1;Sahibabad,Ghaziabad;286.711;773.683;82.0
Owner;1;0;3;BHK;1.600.170.685;0;1;Tripunithura,Kochi;9.952.439;7.636.329.649.999.990;75.0
Owner;0;0;1;BHK;6.000.566.091;1;1;Pen,Raigad;18.75;73.08;21.2
Dealer;0;1;2;BHK;1.429.200.617;1;1;Sector-66A Mohali,Mohali;30.661.103.999.999.900;76.746.082;64.9
Owner;0;0;2;BHK;11.151.379.980.000.000;1;1;Dodda Banaswadi,Bangalore;13.008.071.000.000.000;7.765.129.499.999.990;80.0
Dealer;0;0;4;BHK;2.750.929.368;1;1;Sikandra,Agra;27.216.013;77.950.834;74.0
Owner;0;0;3;BHK;18.111.964.870.000.000;1;1;Kanke,Ranchi;2.335.556;8.533.471.999.999.990;99.0
Owner;0;0;2;BHK;1.045.036.079;1;1;Narendrapur,Kolkata;2.243.917;8.839.583;42.0
Dealer;0;0;3;BHK;3.433.996.566;1;1;Sector-65 Gurgaon,Gurgaon;28.403.138.000.000.000;77.070.052;340.0
Owner;0;0;3;BHK;1.298.219.585;1;1;Electronics City Phase 1,Bangalore;12.840.956;77.659.441;70.0
Owner;1;1;2;BHK;1.109.165.207;0;1;Katapady,Udupi;13.278.236.999.999.900;74.747.328;38.0
Dealer;1;1;4;BHK;1.304.034.182;0;0;Kanchpada,Maharashtra;18.96;72.82;470.0
Dealer;0;1;2;BHK;1.041.195.111;1;1;Sector-70 Noida,Noida;28.596.320.000.000.000;7.738.143.000.000.000;46.0
Dealer;0;0;3;BHK;2.135.748.916;1;1;Sector 82 Faridabad,Faridabad;28.394.375;7.735.722.700.000.000;83.7
Owner;0;1;3;BHK;1.850.180.505;1;1;Noida Extension,Noida;28.579.003.999.999.900;77.431.173;82.0
Dealer;0;0;3;BHK;1.665.080.875;1;1;Kudasan,Gandhinagar;23.166.495;7.263.429.000.000.000;70.0
Owner;0;1;2;BHK;3.982.621.289;1;1;Purseni,Lucknow;26.707.154;8.098.234.599.999.990;11.0
Owner;0;0;2;BHK;1.005.025.126;1;1;Chandapura,Bangalore;12.800.089.999.999.900;7.771.181.999.999.990;48.0
Dealer;0;1;4;BHK;4.900.959.771;1;1;Kharadi,Pune;185.438;739.438;240.0
Dealer;0;1;2;BHK;12.940.161.560.000.000;1;1;4 Bunglows,Mumbai;19.128.324;72.825.408;330.0
Dealer;0;1;3;BHK;1.536.806.516;1;1;Sector-3 Vaishali,Ghaziabad;286.423;773.445;100.0
Owner;0;0;2;BHK;1.123.188.406;1;1;Kaggadasapura,Bangalore;129.816;776.729;62.0
Dealer;0;0;2;BHK;8.001.939.864;1;1;Jhotwara,Jaipur;26.955.346.000.000.000;7.573.479.300.000.000;16.5
Dealer;0;1;4;BHK;26.558.073.649.999.900;1;1;Manpada,Maharashtra;19.239.813;72.962.722;300.0
Dealer;0;0;3;BHK;1.513.775.356;1;1;JP Nagar,Bangalore;12.905.368;77.580.403;100.0
Owner;0;0;3;BHK;1280.0;1;1;Ponekkara,Kochi;9.930.471;76.271.273;48.0
Owner;0;0;1;BHK;4.100.678.733;1;1;Sector-18 Vrindavan Colony,Lucknow;28.568.846;77.324.966;14.5
Dealer;0;0;4;BHK;3.429.355.281;1;1;Vasna Road,Vadodara;22.312.063.000.000.000;72.674.296;100.0
Dealer;0;0;2;BHK;8.900.451.868.999.990;1;1;Sector-25 Khandeshhwar,Mumbai;28.582.887;77.339.935;65.0
Owner;0;0;2;BHK;9.777.082.518.999.990;1;1;Bicholi Mardana,Indore;221.764;758.193;25.0
Dealer;0;0;2;BHK;1.099.855.282;1;1;Syndicate Bank Colony,Bangalore;12.977.126;77.577.724;38.0
Owner;1;0;2;BHK;1.050.241.272;0;1;Paota,Jodhpur;26.295.640.000.000.000;7.303.943.000.000.000;37.0
Dealer;0;1;3;BHK;14.002.418.380.000.000;1;1;Raj Nagar Extension,Ghaziabad;26.900.926.000.000.000;75.775.927;57.9
Dealer;0;0;3;BHK;1.740.139.211;1;1;Sector 19 Kharghar,Mumbai;19.048.979;73.078.232;180.0
Dealer;0;1;2;BHK;1.149.131.767;1;1;Marol,Lalitpur;24.690.279.999.999.900;7.841.889;180.0
Dealer;0;0;2;BHK;6.501.950.585;1;1;Vadavalli,Coimbatore;11.026.678;76.903.583;20.0
Owner;0;0;2;BHK;135.501.355;1;1;Gopalpura Bypass,Jaipur;26.878.068;7.577.985.600.000.000;85.0
Dealer;0;0;3;BHK;18.000.720.030.000.000;1;1;Rasanna Colony,Bangalore;1.296.991;7.759.796;150.0
Dealer;0;1;2;BHK;9.076.305.221.000.000;1;1;Taloja,Maharashtra;2.156.128;7.421.238.000.000.000;33.9
Dealer;0;0;3;BHK;1.636.296.021;1;1;Budigere,Bangalore;13.141.581;77.749.756;88.0
Owner;0;0;2;BHK;9.002.520.706;1;1;Tarsali,Vadodara;22.261.354;73.215.533;25.0
Owner;0;0;2;BHK;13.180.440.230.000.000;1;1;Doddakannelli,Bangalore;12.905.538;77.694.263;100.0
Dealer;0;1;3;BHK;19.495.864.510.000.000;1;1;Sector-88 Mohali,Mohali;30.684.523;76.691.728;99.0
Dealer;0;0;3;BHK;164.336.522;1;1;Kakkanad,Kochi;9.930.471;76.271.273;67.0
Dealer;0;0;3;BHK;1.233.045.623;1;1;Kanjur Marg (East),Maharashtra;18.96;72.82;210.0
Dealer;0;0;1;BHK;6.550.802.139;1;1;Sector 20 Ulwe,Maharashtra;18.964.489;73.019.574;49.0
Owner;0;0;2;BHK;1.180.173.092;1;1;Ferrar Nagar,Bangalore;1.296.991;7.759.796;75.0
Owner;0;0;3;BHK;12.000.872.789.999.900;1;1;Sahibabad,Ghaziabad;286.711;773.683;55.0
Dealer;0;0;4;BHK;6.974.645.114;1;1;New Alipore,Kolkata;22.530.279.999.999.900;8.833.417;1700.0
Owner;1;1;4;BHK;2.700.075.602;0;1;Sector-98 Noida,Noida;28.535.689;7.735.967.099.999.990;250.0
Owner;0;0;2;BHK;8.500.991.782;1;1;Ajmer Road,Jaipur;26.928.784.999.999.900;75.828.002;30.0
Dealer;1;1;4;BHK;2.636.296.531;0;1;Konanakunte,Bangalore;128.855;775.638;250.0
Owner;0;0;2;BHK;9.000.163.639;1;1;Roopena Agrahara,Bangalore;12.928.575;7.758.572.099.999.990;55.0
Dealer;1;0;4;BHK;2.472.952.087;0;1;NIBM,Pune;18.475.864;7.389.000.899.999.990;160.0
Dealer;0;0;2;BHK;9.040.656.205;1;1;Suraksha Nagar,Bangalore;20.098.413;7.910.786;50.7
Dealer;1;1;1;BHK;2.650.033.933;0;1;Andheri (East),Lalitpur;191.145;728.712;82.0
Dealer;1;1;3;BHK;1.570.306.924;0;1;Tonk Road,Jaipur;2.616.667;7.578.333;110.0
Dealer;0;0;2;BHK;9.554.140.127.000.000;1;1;Hiranandani Estate,Lalitpur;19.255.098;729.815.265;150.0
Dealer;0;0;2;BHK;1000.0;1;1;Sector-53 Noida,Noida;28.593.566;77.362.752;60.0
Dealer;0;0;4;BHK;2.494.747.899;1;1;Kadugodi,Bangalore;12.995.285;77.766.797;95.0
Owner;0;0;2;BHK;11.501.303.480.000.000;1;1;Villivakkam Near ICF Bus Stand,Chennai;131.101;802.095;75.0
Dealer;0;0;2;BHK;1.210.136.674;1;1;Kamothe,Mumbai;190.168;7.309.646;85.0
Dealer;0;0;2;BHK;1.365.001.365;1;1;Sector-11 Ghansoli,Mumbai;19.126.499;7.299.956;200.0
Dealer;1;1;2;BHK;4.996.366.279;0;0;Hiranandani Estate,Maharashtra;19.255.098;729.815.265;110.0
Dealer;0;0;2;BHK;1.050.144.395;1;1;Manjalpur,Vadodara;22.271.214;73.188.827;40.0
Owner;0;0;1;BHK;4.760.204.688.999.990;1;1;Madanandapuram,Chennai;13.020.957.000.000.000;80.152.774;40.0
Dealer;0;0;2;BHK;985.452.839;1;1;Hajipur,Noida;28.538.774;77.366.515;21.0
Dealer;0;0;2;BHK;1.045.296.167;1;1;Sector 77 Faridabad,Faridabad;28.368.269;7.737.273;24.0
Dealer;1;1;2;BHK;130.189.498;0;1;Sarjapur Road,Bangalore;12.86;77.786;90.0
Owner;0;0;2;BHK;2000.0;1;1;Alwar Bypass Road,Bhiwadi;282.102;768.606;38.0
Dealer;1;1;4;BHK;4.465.709.729;0;1;Sector-108 Noida,Noida;28.526.623.999.999.900;7.737.671.800.000.000;280.0
Dealer;0;0;2;BHK;1192.0;1;1;Nayapalli,Bhubaneswar;20.286.571;85.810.906;59.6
Dealer;1;0;3;BHK;18.461.538.460.000.000;0;0;New Town,Kolkata;225.922;88.484.911;120.0
Dealer;1;0;1;BHK;4.485.310.608;0;1;Kanjur Marg (East),Mumbai;19.221.571;73.042.474;120.0
Owner;0;0;2;BHK;7.500.604.887.000.000;1;1;Gyan Khand 2,Ghaziabad;2.866.667;7.741.667;31.0
Dealer;0;0;2;BHK;10.600.706.710.000.000;1;1;Roadpali,Maharashtra;19.040.066;73.115.347;72.0
Dealer;0;1;3;BHK;141.509.434;1;1;Electronic City Phase II,Bangalore;128.458;776.727;79.5
Dealer;0;0;2;BHK;1.160.062.565;1;1;Sector-35G Kharghar,Maharashtra;18.96;72.82;89.0
Dealer;0;0;3;BHK;1.690.024.732;1;1;Goregaon (East),Lalitpur;191.615;728.731;410.0
Owner;1;0;3;BHK;1.672.762.741;0;1;Sector-143B Noida,Noida;28.495.803.000.000.000;7.742.684.799.999.990;68.6
Owner;0;0;2;BHK;1.315.265.046;1;1;RM Park,Valsad;20.606.469;72.913.465;33.0
Dealer;0;0;1;BHK;650.026.001;1;1;Kalyan (West),Mumbai;19.245.347;73.124.577;50.0
Owner;0;0;1;BHK;5.401.755.571;1;1;Saphale,Palghar;19.585.537;7.283.686.800.000.000;16.0
Dealer;0;0;3;BHK;1.830.065.359;1;1;Suraksha Nagar,Bangalore;20.098.413;7.910.786;98.0
Dealer;0;0;3;BHK;1.575.157.516;1;1;Judges Enclave,Ghaziabad;2.866.667;7.741.667;70.0
Dealer;0;0;3;BHK;1530.0;1;1;Harlur Road,Bangalore;12.904.179;77.665.897;76.5
Owner;0;0;2;BHK;6.196.377.502;1;1;Byagadadhenahalli,Bangalore;12.758.604;77.700.377;26.0
Owner;0;0;4;BHK;2200.0;1;1;Citylight Area,Surat;21.17;72.83;110.0
Dealer;0;0;3;BHK;1.757.188.498;1;1;Action Area IID,Kolkata;4.067.197.199;-8.615.292.909;77.0
Dealer;0;1;2;BHK;1.087.885.617;1;1;Manpada,Mumbai;19.239.813;72.962.722;140.0
Owner;0;0;2;BHK;1.199.862.873;1;1;Doddakallasandra,Bangalore;12.880.993;77.557.654;70.0
Owner;0;0;2;BHK;1.265.035.255;1;1;Bhuvaneshwari Nagar,Bangalore;13.033.421;77.603.954;61.0
Dealer;0;0;2;BHK;6.760.453.302;1;1;Ganganagar,Kolkata;22.301.625;88.242.147;17.3
Owner;0;0;2;BHK;800.0;1;1;Mohan Nagar,Ghaziabad;28.678.014;7.738.296;42.0
Owner;0;0;2;BHK;7.500.750.075;1;1;Maheshtala,Kolkata;22.486.821;88.233.267;25.0
Dealer;0;1;2;BHK;1500.0;1;0;Anna Nagar West,Chennai;13.086.769;80.191.135;150.0
Dealer;0;0;3;BHK;1.814.285.714;1;1;Khandagiri,Bhubaneswar;20.257.482.999.999.900;85.780.142;88.9
Dealer;0;1;3;BHK;1.195.652.174;1;1;Ghodbunder Road,Lalitpur;24.690.279.999.999.900;7.841.889;110.0
Dealer;0;0;3;BHK;1.395.032.324;1;1;Raj Nagar Extension,Ghaziabad;26.900.926.000.000.000;75.775.927;41.0
Owner;0;0;2;BHK;8.501.594.049;1;1;Palghar,Palghar;19.696.531;72.767.746;24.0
Dealer;0;0;2;BHK;9.094.339.623;1;1;Keelkattalai,Chennai;12.957.707.000.000.000;8.018.367.099.999.990;48.2
Owner;1;0;2;BHK;9.100.937.672;0;1;Ramna,Varanasi;25.248.438;83.014.116;33.0
Dealer;0;0;3;BHK;18.500.703.030.000.000;1;1;Aga Abbas Ali Road,Bangalore;1.296.991;7.759.796;250.0
Dealer;0;1;3;BHK;2.069.857.697;1;1;Sector-107 Noida,Noida;28.546.788;7.737.849.399.999.990;160.0
Dealer;0;1;2;BHK;8.200.082.001.000.000;1;1;Thane West,Mumbai;19.18;7.296.333;140.0
Dealer;0;0;2;BHK;12.418.075.199.999.900;1;1;Sargasan,Gandhinagar;23.182.972;72.611.485;36.0
Dealer;0;1;3;BHK;1.014.120.668;1;0;Kharadi,Maharashtra;185.438;739.438;79.0
Dealer;0;0;4;BHK;2.302.158.273;1;1;Sector-70 Mohali,Mohali;30.697.795.000.000.000;76.714.722;160.0
Dealer;0;0;2;BHK;9.000.782.677.000.000;1;1;Sector 35I Kharghar,Lalitpur;24.690.279.999.999.900;7.841.889;69.0
Builder;1;0;2;BHK;8.985.074.627;0;0;Jalukbari,Guwahati;26.154.874;91.670.312;30.1
Dealer;0;0;3;BHK;2.235.294.118;1;1;C-Scheme,Jaipur;2.691.667;7.586.667;190.0
Dealer;0;0;3;BHK;1350.0;1;1;Sector-50 Noida,Noida;285.679;773.679;81.0
Dealer;0;1;2;BHK;1.100.110.011;1;1;Warje,Pune;18.485.487;7.380.377.299.999.990;70.0
Dealer;0;1;1;BHK;6.121.199.755;1;1;Mambakkam,Chennai;128.356;801.682;30.0
Owner;0;0;2;BHK;11.003.521.130.000.000;1;1;Sai Nagar,Amravati;20.892.132.999.999.900;77.741.664;25.0
Dealer;0;1;5;BHK;5.194.805.195;1;1;Sector-128 Noida,Noida;28.522.931;77.357.078;400.0
Dealer;0;0;3;BHK;14.752.567.689.999.900;1;1;Sector-137 Noida,Noida;28.506.453.999.999.900;7.740.956.800.000.000;79.0
Dealer;0;1;4;BHK;27.801.911.379.999.900;1;1;Sector-79 Noida,Noida;28.558.047;77.392.752;160.0
Builder;1;0;1;BHK;3.000.260.892;0;0;Kachimet,Lalitpur;24.690.279.999.999.900;7.841.889;11.5
Owner;0;0;2;BHK;1000.0;1;1;Venkojipalem,Visakhapatnam;17.7;83.25;50.0
Dealer;0;0;2;BHK;1.532.720.245;1;1;Goregaon (East),Mumbai;191.615;728.731;230.0
Dealer;1;1;2;BHK;9.958.314.034;0;0;Sevasi,Vadodara;22.311.323;73.121.275;21.5
Dealer;0;0;3;BHK;1.646.706.587;1;0;Sector-90 Gurgaon,Gurgaon;28.406.794;76.936.447;110.0
Dealer;0;0;4;BHK;2.350.965.575;1;1;Sunny Enclave,Mohali;30.664.299;76.817.624;56.0
