Lever position ;Ship speed (v) ;Gas Turbine (GT);GT rate of revolutions (GTn) ;Starboard Propeller Torque ;Port Propeller Torque (Tp);Hight Pressure (HP);HP Turbine exit pressure;GT Compressor outlet air pressure (P2) [bar]  ;GT exhaust gas pressure (Pexh) ;Turbine Injecton Control (TIC) [%]  ;GT Compressor decay state coefficient  ;FuelFlow
9.3;27;72.765.436;3.560.405;645.04;645.04;1.113.084;4.494;22.729;1.049;92.235;0.95;1.826
1.138;3;1.836.145;1.403.714;10.747;10.747;505.147;1.163;6.293;1.019;0.0;0.95;0.124
2.088;6;6.846.147;1364.27;26.018;26.018;632.165;1.324;7.222;1.019;16.581;0.95;0.288
3.144;9;8.379.616;1386.76;60.358;60.358;602.68;1.388;7.544;1.02;12.949;0.95;0.256
4.161;12;14.724.795;1.547.468;113.791;113.791;657.869;1.657;8.971;1.022;17.937;0.95;0.355
5.14;15;21.637.374;1.924.318;175.283;175.283;727.51;2.077;11.151;1.026;26.147;0.95;0.518
6.175;18;29.793.951;2.307.351;246.254;246.254;795.911;2.5;13.301;1.03;35.467;0.95;0.702
7.148;21;38.980.696;2.678.086;332.154;332.154;850.58;2.961;15.61;1.035;45.555;0.95;0.902
8.206;24;50.997.922;3.087.627;437.996;437.996;947.943;3.573;18.547;1.041;62.051;0.95;1.228
9.3;27;72.766.645;3.560.405;644.879;644.879;1.112.188;4.493;22.701;1.049;92.129;0.95;1.824
1.138;3;2.208.183;1.410.089;11.143;11.143;515.967;1.178;6.372;1.019;0.0;0.95;0.136
2.088;6;6.838.593;1.364.796;26.113;26.113;630.902;1.324;7.214;1.019;16.216;0.95;0.287
3.144;9;8.379.729;1386.76;60.361;60.361;601.855;1.388;7.537;1.02;12.915;0.95;0.256
4.161;12;14.724.872;1.547.468;113.798;113.798;656.974;1.656;8.962;1.022;17.894;0.95;0.354
5.14;15;21.637.135;1.924.322;175.329;175.329;726.517;2.077;11.139;1.026;26.09;0.95;0.516
6.175;18;29.794.302;2.307.344;246.236;246.236;794.789;2.5;13.287;1.03;35.393;0.95;0.701
7.148;21;38.980.287;2.678.088;332.194;332.194;849.545;2.96;15.592;1.035;45.473;0.95;0.9
8.206;24;50998.05;3.087.634;438.004;438.004;946.906;3.572;18.525;1.041;61.954;0.95;1.226
9.3;27;72.767.018;3.560.412;644.844;644.844;1111.29;4.492;22.674;1.049;92.023;0.95;1.822
1.138;3;2.951.927;1.417.178;11.583;11.583;538.322;1.207;6.528;1.019;0.0;0.95;0.162
2.088;6;6.804.076;1.363.758;25.915;25.915;629.367;1.323;7.2;1.019;16.701;0.95;0.286
3.144;9;8.379.829;1.386.761;60.364;60.364;601.03;1.388;7.53;1.02;12.881;0.95;0.255
4.161;12;14.724.969;1.547.469;113.802;113.802;656.081;1.656;8.953;1.022;17.852;0.95;0.353
5.14;15;21637.62;1.924.323;175.336;175.336;725.531;2.077;11.128;1.026;26.034;0.95;0.515
6.175;18;29794.58;2307.33;246.315;246.315;793.671;2.499;13.273;1.03;35.321;0.95;0.699
7.148;21;38.979.934;2.678.088;332.058;332.058;848.513;2.96;15.575;1.035;45.392;0.95;0.899
8.206;24;50.998.096;3.087.637;438.054;438.054;945.871;3.571;18.504;1.041;61.857;0.95;1.225
9.3;27;72.767.717;3.560.417;644.801;644.801;1.110.396;4.49;22.647;1.049;91.917;0.95;1.82
1.138;3;3.774.812;1.418.886;11.699;11.699;562.543;1.236;6.688;1.019;0.0;0.95;0.191
2.088;6;6.606.714;1.358.928;25.032;25.032;624.597;1.316;7.155;1.019;18.868;0.95;0.282
3.144;9;8.379.928;1.386.761;60.365;60.365;600.208;1.388;7.522;1.02;12.847;0.95;0.254
4.161;12;14.725.068;1547.47;113.794;113.794;655.19;1.656;8.943;1.022;17.809;0.95;0.353
5.14;15;21.637.728;1.924.325;175.288;175.288;724.546;2.076;11.116;1.026;25.977;0.95;0.514
6.175;18;29.794.844;2.307.317;246.246;246.246;792.556;2.499;13.259;1.03;35.248;0.95;0.698
7.148;21;38.979.558;2.678.088;332.152;332.152;847.483;2.959;15.558;1.035;45.312;0.95;0.897
8.206;24;50998.04;3.087.637;438.031;438.031;944.838;3.57;18.482;1.041;61.761;0.95;1.223
9.3;27;72.768.206;3.560.423;644.965;644.965;1.109.503;4.489;22.619;1.049;91.811;0.95;1.817
1.138;3;4.053.735;1.417.887;11.648;11.648;570.474;1.245;6.73;1.019;0.0;0.95;0.2
2.088;6;6.563.076;1.358.234;24.908;24.908;622.744;1.314;7.139;1.019;19.074;0.95;0.28
3.144;9;8.380.079;1.386.762;60.363;60.363;599.387;1.388;7.515;1.02;12.813;0.95;0.254
4.161;12;14.725.087;1547.47;113.802;113.802;654.301;1.656;8.934;1.022;17.767;0.95;0.352
5.14;15;21.637.989;1.924.326;175.321;175.321;723.564;2.076;11.105;1.026;25.921;0.95;0.513
6.175;18;29.795.241;2.307.311;246.255;246.255;791.444;2.499;13.246;1.03;35.176;0.95;0.696
7.148;21;38.979.213;2.678.089;332.045;332.045;846.457;2.958;15.541;1.035;45.231;0.95;0.896
8.206;24;50997.94;3.087.634;438.004;438.004;943.809;3.569;18.461;1.041;61.664;0.95;1.221
9.3;27;72.768.423;3.560.431;645.029;645.029;1.108.612;4.488;22.592;1.049;91.705;0.95;1.815
1.138;3;5.449.868;1.407.844;11.046;11.046;610.426;1.288;6.975;1.019;0.0;0.95;0.249
2.088;6;6.491.693;1.356.728;24.629;24.629;620.37;1.311;7.118;1.019;19.526;0.95;0.278
3.144;9;8.380.141;1.386.763;60.365;60.365;598.568;1.388;7.508;1.02;12.78;0.95;0.253
4.161;12;14725.17;1.547.471;113.792;113.792;653.415;1.656;8.925;1.022;17.724;0.95;0.351
5.14;15;21.638.127;1.924.328;175.304;175.304;722.583;2.076;11.093;1.026;25.865;0.95;0.512
6.175;18;29.795.502;2307.3;246.333;246.333;790.336;2.498;13.232;1.03;35.103;0.95;0.695
7.148;21;38.978.773;2.678.088;332.181;332.181;845.431;2.958;15.524;1.035;45.15;0.95;0.894
8.206;24;50997.82;3.087.633;438.067;438.067;942.782;3.568;18.44;1.041;61.568;0.95;1.219
9.3;27;72.770.382;3.560.421;644.892;644.892;1.107.732;4.487;22.565;1.049;91.601;0.95;1.813
1.138;3;6303.74;1.396.991;10.4;10.4;634.168;1.312;7.11;1.019;0.0;0.95;0.278
2.088;6;6.420.429;1.355.785;24.465;24.465;617.954;1.309;7.101;1.019;20.263;0.95;0.276
3.144;9;8.380.258;1.386.763;60.371;60.371;597.75;1.388;7.501;1.02;12.746;0.95;0.252
4.161;12;14.725.326;1.547.471;113.806;113.806;652.531;1.655;8.916;1.022;17.682;0.95;0.35
5.14;15;21.638.294;1924.33;175.328;175.328;721.606;2.076;11.082;1.026;25.809;0.95;0.511
6.175;18;29.795.876;2.307.294;246.256;246.256;789.231;2.498;13.218;1.03;35.031;0.95;0.694
7.148;21;38.978.199;2.678.082;332.044;332.044;844.398;2.957;15.507;1.035;45.07;0.95;0.892
8.206;24;50.997.702;3.087.631;437.99;437.99;941.759;3.567;18.419;1.041;61.472;0.95;1.217
9.3;27;72.771.461;3.560.421;644.815;644.815;1106.85;4.485;22.538;1.049;91.496;0.95;1.811
1.138;3;7.325.655;1.374.993;9.099;9.099;666.257;1.334;7.245;1.019;4.989;0.95;0.322
2.088;6;6.310.331;1.354.347;24.201;24.201;614.503;1.305;7.074;1.019;20.679;0.95;0.272
3.144;9;8380.39;1.386.764;60.369;60.369;596.935;1.388;7.493;1.02;12.712;0.95;0.252
4.161;12;14.725.397;1.547.472;113.784;113.784;651.649;1.655;8.907;1.022;17.64;0.95;0.349
5.14;15;21.638.498;1.924.331;175.3;175.3;720.631;2.075;11.071;1.026;25.754;0.95;0.51
6.175;18;29.796.172;2.307.284;246.337;246.337;788.13;2.497;13.205;1.03;34.959;0.95;0.692
7.148;21;38.977.811;2.678.079;332.138;332.138;843.367;2.957;15.49;1.035;44.989;0.95;0.891
8.206;24;50.997.591;3.087.629;437.99;437.99;940.739;3.566;18.398;1.041;61.376;0.95;1.215
9.3;27;72.771.813;3.560.429;644.825;644.825;1.105.967;4.484;22.511;1.049;91.391;0.95;1.809
1.138;3;7.456.772;1.363.431;8.435;8.435;672.064;1.334;7.246;1.019;11.382;0.95;0.333
2.088;6;6.089.628;1.351.779;23.732;23.732;608.51;1.298;7.027;1.019;21.587;0.95;0.266
3.144;9;8.380.489;1.386.764;60.376;60.376;596.121;1.387;7.486;1.02;12.678;0.95;0.251
4.161;12;14.725.441;1.547.473;113.809;113.809;650.769;1.655;8.898;1.022;17.598;0.95;0.348
5.14;15;21.638.563;1.924.334;175.334;175.334;719.658;2.075;11.059;1.026;25.698;0.95;0.509
6.175;18;29.796.443;2.307.276;246.268;246.268;787.032;2.497;13.191;1.03;34.887;0.95;0.691
7.148;21;38.977.355;2.678.079;332.161;332.161;842.338;2.956;15.473;1.035;44.908;0.95;0.889
8.206;24;50.997.502;3.087.626;438.025;438.025;939.722;3.566;18.376;1.041;61.281;0.95;1.213
9.3;27;72772.94;3.560.423;645.069;645.069;1.105.089;4.483;22.484;1.049;91.287;0.95;1.807
1.138;3;6.810.551;1.333.835;6.756;6.756;661.708;1.308;7.107;1.019;25.58;0.95;0.328
2.088;6;6.169.829;1.352.942;23.94;23.94;609.547;1.301;7.037;1.019;21.312;0.95;0.267
3.144;9;8.380.543;1.386.765;60.364;60.364;595.308;1.387;7.479;1.02;12.645;0.95;0.25
4.161;12;14.725.555;1.547.473;113.809;113.809;649.892;1.655;8.889;1.022;17.556;0.95;0.348
5.14;15;21.638.709;1.924.336;175.299;175.299;718.687;2.075;11.048;1.026;25.642;0.95;0.508
6.175;18;29.796.753;2307.27;246.297;246.297;785.938;2.497;13.177;1.03;34.816;0.95;0.689
7.148;21;38.977.062;2.678.077;332.158;332.158;841.313;2.955;15.456;1.035;44.828;0.95;0.888
8.206;24;50.997.385;3.087.624;438.127;438.127;938.707;3.565;18.355;1.041;61.186;0.95;1.211
9.3;27;72.773.589;3.560.429;645.021;645.021;1.104.213;4.482;22.457;1.049;91.183;0.95;1.805
1.138;3;4.893.243;1.312.751;5.598;5.598;615.36;1.249;6.769;1.019;33.173;0.95;0.278
2.088;6;5.864.141;1349.84;23.383;23.383;601.383;1.291;6.975;1.019;22.212;0.95;0.258
3.144;9;8.380.698;1.386.766;60.366;60.366;594.498;1.387;7.472;1.02;12.611;0.95;0.25
4.161;12;14.725.621;1.547.474;113.813;113.813;649.017;1.655;8.881;1.022;17.514;0.95;0.347
5.14;15;21.638.765;1.924.338;175.35;175.35;717.719;2.074;11.037;1.026;25.587;0.95;0.506
6.175;18;29.797.061;2.307.262;246.305;246.305;784.846;2.496;13.164;1.03;34.745;0.95;0.688
7.148;21;38.976.661;2.678.075;332.072;332.072;840.29;2.955;15.439;1.035;44.747;0.95;0.886
8.206;24;50.997.254;3.087.623;438.133;438.133;937.696;3.564;18.334;1.041;61.091;0.95;1.209
9.3;27;72.773.853;3.560.434;645.058;645.058;1.103.336;4.48;22.43;1.049;91.079;0.95;1.803
1.138;3;3.716.231;1.308.145;5.337;5.337;582.833;1.212;6.55;1.019;33.388;0.95;0.241
2.088;6;5.609.242;1.347.854;23.017;23.017;594.393;1.283;6.925;1.019;22.981;0.95;0.25
3.144;9;8.380.817;1.386.766;60.381;60.381;593.689;1.387;7.464;1.02;12.577;0.95;0.249
4.161;12;14.725.672;1.547.475;113.813;113.813;648.143;1.654;8.872;1.022;17.472;0.95;0.346
5.14;15;21.639.049;1.924.339;175.304;175.304;716.754;2.074;11.026;1.026;25.532;0.95;0.505
6.175;18;29797.33;2.307.255;246.366;246.366;783.758;2.496;13.15;1.03;34.673;0.95;0.687
7.148;21;38.976.329;2.678.077;332.101;332.101;839.27;2.954;15.423;1.035;44.667;0.95;0.884
8.206;24;50.997.156;3087.62;438.037;438.037;936.687;3.563;18.313;1.041;60.996;0.95;1.208
9.3;27;72.774.979;3.560.434;644.927;644.927;1.102.466;4.479;22.404;1.049;90.975;0.95;1.801
1.138;3;2.639.688;1.307.675;5.304;5.304;551.016;1.177;6.346;1.019;32.625;0.95;0.204
2.088;6;5.612.283;1.347.886;23.027;23.027;593.577;1.283;6.918;1.019;22.796;0.95;0.25
3.144;9;8.380.894;1.386.767;60.37;60.37;592.882;1.387;7.457;1.02;12.544;0.95;0.248
4.161;12;14.725.901;1.547.475;113.811;113.811;647.273;1.654;8.863;1.022;17.43;0.95;0.345
5.14;15;21.639.262;1.924.341;175.306;175.306;715.792;2.074;11.014;1.026;25.476;0.95;0.504
6.175;18;29.797.514;2.307.247;246.284;246.284;782.673;2.496;13.137;1.03;34.602;0.95;0.685
7.148;21;38.976.119;2.678.075;332.145;332.145;838.254;2.954;15.406;1.035;44.587;0.95;0.883
8.206;24;50.997.004;3087.62;438.074;438.074;935.682;3.562;18.292;1.041;60.901;0.95;1.206
9.3;27;72.775.879;3.560.436;645.046;645.046;1.101.598;4.478;22.377;1.049;90.872;0.95;1.799
1.138;3;1.746.991;1.310.436;5.445;5.445;521.736;1.147;6.173;1.019;29.309;0.95;0.168
2.088;6;5.259.425;1.346.166;22.708;22.708;583.693;1.272;6.849;1.019;23.154;0.95;0.239
3.144;9;8.381.008;1.386.767;60.375;60.375;592.076;1.387;7.45;1.02;12.51;0.95;0.248
4.161;12;14.725.856;1.547.476;113.815;113.815;646.403;1.654;8.854;1.022;17.388;0.95;0.344
5.14;15;21.639.277;1.924.343;175.305;175.305;714.831;2.074;11.003;1.026;25.421;0.95;0.503
6.175;18;29.797.827;2.307.243;246.326;246.326;781.591;2.495;13.123;1.03;34.532;0.95;0.684
7.148;21;38.975.735;2.678.076;332.111;332.111;837.239;2.953;15.389;1.035;44.508;0.95;0.881
8.206;24;50.996.889;3.087.618;437.976;437.976;934.68;3.561;18.271;1.041;60.807;0.95;1.204
9.3;27;72.775.917;3560.44;644.946;644.946;1.100.727;4.477;22.35;1.049;90.768;0.95;1.797
1.138;3;530.989;1.324.357;6.181;6.181;473.949;1.103;5.916;1.019;19.388;0.95;0.108
2.088;6;5302.58;1.346.313;22.737;22.737;583.962;1.273;6.848;1.019;22.888;0.95;0.239
3.144;9;8.381.135;1.386.768;60.377;60.377;591.272;1.387;7.443;1.02;12.477;0.95;0.247
4.161;12;14.725.965;1.547.477;113.81;113.81;645.537;1.654;8.845;1.022;17.346;0.95;0.343
5.14;15;21.639.548;1.924.345;175.328;175.328;713.874;2.073;10.992;1.026;25.366;0.95;0.502
6.175;18;29797.93;2.307.233;246.295;246.295;780.513;2.495;13.11;1.03;34.461;0.95;0.682
7.148;21;38.975.494;2.678.075;332.06;332.06;836.228;2.952;15.372;1.035;44.428;0.95;0.88
8.206;24;50.996.781;3.087.615;437.981;437.981;933.68;3.56;18.25;1.041;60.713;0.95;1.202
9.3;27;72776.92;3.560.436;644.936;644.936;1.099.863;4.476;22.323;1.049;90.666;0.95;1.795
1.138;3;305.706;1.332.396;6.616;6.616;460.882;1.094;5.85;1.019;14.834;0.95;0.089
2.088;6;5.179.159;1.345.805;22.643;22.643;579.983;1.269;6.824;1.019;23.23;0.95;0.235
3.144;9;8.381.186;1.386.769;60.378;60.378;590.47;1.387;7.436;1.02;12.444;0.95;0.246
4.161;12;14.726.047;1.547.477;113.812;113.812;644.672;1.654;8.836;1.022;17.305;0.95;0.343
5.14;15;21.639.721;1.924.347;175.31;175.31;712.918;2.073;10.981;1.026;25.311;0.95;0.501
6.175;18;29.798.176;2.307.229;246.297;246.297;779.437;2.495;13.096;1.03;34.391;0.95;0.681
7.148;21;38.975.179;2.678.075;332.094;332.094;835.219;2.952;15.356;1.035;44.349;0.95;0.878
8.206;24;50.996.595;3.087.612;438.082;438.082;932.683;3.559;18.23;1.041;60.619;0.95;1.2
9.3;27;72.777.297;3.560.443;645.143;645.143;1.098.999;4.474;22.297;1.049;90.563;0.95;1.793
1.138;3;314.48;1.349.466;7.553;7.553;451.45;1.096;5.843;1.019;4.567;0.95;0.071
2.088;6;5.228.006;1.345.969;22.671;22.671;580.5;1.27;6.825;1.019;23.174;0.95;0.236
3.144;9;8.381.319;1.386.769;60.387;60.387;589.669;1.387;7.429;1.02;12.41;0.95;0.246
4.161;12;14726.15;1.547.478;113.817;113.817;643.809;1.653;8.827;1.022;17.263;0.95;0.342
5.14;15;21.639.876;1.924.349;175.327;175.327;711.965;2.073;10.97;1.026;25.256;0.95;0.5
6.175;18;29.798.329;2.307.223;246.38;246.38;778.365;2.494;13.083;1.03;34.321;0.95;0.68
7.148;21;38.974.892;2.678.075;332.105;332.105;834.213;2.951;15.339;1.035;44.27;0.95;0.877
8.206;24;50.995.647;3.087.591;438.073;438.073;931.663;3.558;18.209;1.041;60.524;0.95;1.198
9.3;27;72.778.944;3.560.457;644.866;644.866;1.098.146;4.473;22.27;1.049;90.461;0.95;1.791
1.138;3;497.385;1.359.362;8.111;8.111;454.607;1.104;5.882;1.019;0.0;0.95;0.072
2.088;6;4.826.301;1.344.737;22.448;22.448;569.036;1.258;6.745;1.019;23.176;0.95;0.222
3.144;9;8381.37;1386.77;60.382;60.382;588.87;1.386;7.422;1.02;12.377;0.95;0.245
4.161;12;14.726.291;1.547.478;113.821;113.821;642.949;1.653;8.819;1.022;17.222;0.95;0.341
5.14;15;21.640.062;1924.35;175.312;175.312;711.015;2.072;10.959;1.026;25.202;0.95;0.499
6.175;18;29.798.462;2.307.218;246.328;246.328;777.295;2.494;13.069;1.03;34.251;0.95;0.678
7.148;21;38.974.631;2.678.075;332.11;332.11;833.209;2.951;15.323;1.035;44.191;0.95;0.875
8.206;24;50.995.184;3.087.577;438.116;438.116;930.649;3.558;18.189;1.041;60.429;0.95;1.196
9.3;27;72.779.364;3.560.563;645.15;645.15;1.097.297;4.472;22.244;1.049;90.36;0.95;1.789
1.138;3;788.275;1.372.125;8.843;8.843;462.434;1.117;5.946;1.019;0.0;0.95;0.081
2.088;6;4.799.006;1.344.875;22.463;22.463;567.384;1.257;6.739;1.019;23.074;0.95;0.221
3.144;9;8.381.496;1386.77;60.375;60.375;588.073;1.386;7.415;1.02;12.344;0.95;0.244
4.161;12;14.726.301;1.547.479;113.807;113.807;642.091;1.653;8.81;1.022;17.181;0.95;0.34
5.14;15;21.640.086;1.924.353;175.334;175.334;710.065;2.072;10.948;1.026;25.147;0.95;0.498
6.175;18;29798.5;2.307.212;246.339;246.339;776.229;2.494;13.056;1.03;34.181;0.95;0.677
7.148;21;38.974.378;2.678.074;332.038;332.038;832.209;2.95;15.306;1.035;44.112;0.95;0.873
8.206;24;50.994.939;3087.57;438.063;438.063;929.639;3.557;18.168;1.041;60.335;0.95;1.194
9.3;27;72782.59;3.560.741;645.236;645.236;1.096.477;4.471;22.218;1.049;90.263;0.95;1.787
1.138;3;873.883;1.375.243;9.022;9.022;464.27;1.121;5.962;1.019;0.0;0.95;0.083
2.088;6;4.768.734;1.344.802;22.448;22.448;565.916;1.256;6.727;1.019;23.05;0.95;0.219
3.144;9;8.381.606;1.386.771;60.384;60.384;587.277;1.386;7.407;1.02;12.311;0.95;0.244
4.161;12;14.726.397;1547.48;113.817;113.817;641.234;1.653;8.801;1.022;17.139;0.95;0.339
5.14;15;21.640.308;1.924.354;175.337;175.337;709.12;2.072;10.937;1.026;25.093;0.95;0.497
6.175;18;29.798.543;2.307.208;246.397;246.397;775.165;2.493;13.043;1.03;34.111;0.95;0.675
7.148;21;38.974.113;2.678.074;331.994;331.994;831.211;2.949;15.289;1.035;44.033;0.95;0.872
8.206;24;50.994.777;3.087.564;438.052;438.052;928.632;3.556;18.148;1.041;60.241;0.95;1.193
9.3;27;72.781.391;3560.72;644.884;644.884;1.095.609;4.47;22.192;1.049;90.159;0.95;1.785
1.138;3;937.006;1.377.428;9.148;9.148;465.47;1.124;5.971;1.019;0.0;0.95;0.085
2.088;6;4.436.213;1.344.686;22.42;22.42;556.211;1.245;6.662;1.019;22.745;0.95;0.207
3.144;9;8.381.677;1.386.772;60.379;60.379;586.483;1.386;7.4;1.02;12.277;0.95;0.243
4.161;12;14.726.556;1547.48;113.824;113.824;640.381;1.653;8.792;1.022;17.098;0.95;0.338
5.14;15;21.640.355;1.924.357;175.338;175.338;708.176;2.072;10.926;1.026;25.038;0.95;0.496
6.175;18;29798.58;2.307.205;246.394;246.394;774.103;2.493;13.029;1.03;34.042;0.95;0.674
7.148;21;38.973.845;2.678.075;332.117;332.117;830.215;2.949;15.273;1.035;43.955;0.95;0.87
8.206;24;50994.64;3087.56;438.1;438.1;927.629;3.555;18.128;1.041;60.147;0.95;1.191
9.3;27;72.779.536;3.560.712;645.18;645.18;1.094.742;4.468;22.165;1.049;90.054;0.95;1.783
1.138;3;1.105.362;1.383.777;9.515;9.515;469.752;1.131;6.004;1.019;0.0;0.95;0.09
2.088;6;4.178.563;1.344.968;22.462;22.462;548.093;1.237;6.608;1.019;22.353;0.95;0.197
3.144;9;8.381.818;1.386.772;60.388;60.388;585.691;1.386;7.393;1.02;12.244;0.95;0.242
4.161;12;14.726.603;1.547.481;113.824;113.824;639.528;1.652;8.784;1.022;17.057;0.95;0.338
5.14;15;21640.79;1.924.357;175.34;175.34;707.237;2.071;10.915;1.026;24.984;0.95;0.495
6.175;18;29.798.727;2.307.204;246.336;246.336;773.045;2.492;13.016;1.03;33.972;0.95;0.673
7.148;21;38.973.613;2.678.074;332.071;332.071;829.222;2.948;15.257;1.035;43.877;0.95;0.869
8.206;24;50.994.522;3.087.557;437.951;437.951;926.629;3.554;18.108;1.041;60.053;0.95;1.189
9.3;27;72.777.956;3.560.703;645.03;645.03;1.093.878;4.467;22.139;1.049;89.951;0.95;1.781
1.138;3;395.648;1.331.563;6.59;6.59;477.697;1.099;5.976;1.019;17.188;0.951;0.105
2.088;6;6.956.385;1375.03;27.996;27.996;635.18;1.331;7.281;1.019;11.308;0.951;0.287
3.144;9;8.379.108;1.386.757;60.352;60.352;605.531;1.389;7.575;1.02;13.069;0.951;0.259
4.161;12;14.724.427;1.547.464;113.781;113.781;660.998;1.658;9.008;1.022;18.09;0.951;0.358
5.14;15;21.636.234;1.924.312;175.293;175.293;730.948;2.079;11.198;1.026;26.349;0.951;0.522
6.175;18;29.792.435;2.307.415;246.221;246.221;799.895;2.502;13.358;1.03;35.734;0.951;0.707
7.148;21;38.982.867;2.678.086;332.176;332.176;854.058;2.964;15.682;1.035;45.845;0.951;0.908
8.206;24;50.996.612;3.087.555;438.131;438.131;951.441;3.577;18.636;1.041;62.4;0.951;1.235
9.3;27;72.762.165;3.560.402;645.048;645.048;1.114.609;4.499;22.818;1.049;92.476;0.951;1.831
1.138;3;414.47;1.357.092;8.013;8.013;464.304;1.101;5.972;1.019;2.849;0.951;0.079
2.088;6;6.913.449;1367.24;26.553;26.553;635.344;1.327;7.257;1.019;15.178;0.951;0.29
3.144;9;8.379.189;1.386.757;60.352;60.352;604.699;1.389;7.567;1.02;13.035;0.951;0.258
4.161;12;14.724.443;1.547.465;113.786;113.786;660.094;1.658;8.999;1.022;18.047;0.951;0.357
5.14;15;21.636.269;1.924.314;175.296;175.296;729.948;2.078;11.187;1.026;26.292;0.951;0.52
6.175;18;29.792.785;2.307.404;246.215;246.215;798.759;2.501;13.344;1.03;35.661;0.951;0.706
7.148;21;38982.43;2.678.085;332.208;332.208;853.012;2.963;15.665;1.035;45.763;0.951;0.906
8.206;24;50.997.075;3.087.576;437.997;437.997;950.392;3.576;18.614;1.041;62.303;0.951;1.233
9.3;27;72763.29;3.560.403;644.723;644.723;1.113.705;4.498;22.79;1.049;92.369;0.951;1.828
