Delay_from_due_date;Num_of_Delayed_Payment;Num_Credit_Inquiries;Credit_History_Age;Age;Annual_Income;Num_Bank_Accounts;Num_Credit_Card;Interest_Rate;Num_of_Loan;Changed_Credit_Limit;Outstanding_Debt;Credit_Score
18.0;8.0;1.0;332.0;26.0;97791.42;6.0;6.0;12.0;0.0;17.92;107.41;Standard
18.0;8.0;1.0;333.0;26.0;97791.42;6.0;6.0;12.0;0.0;17.92;107.41;Good
52.0;18.0;7.0;218.0;31.0;19300.34;6.0;7.0;17.0;5.0;9.95;2430.21;Poor
51.0;18.0;7.0;219.0;31.0;19300.34;6.0;7.0;17.0;5.0;9.95;2430.21;Poor
48.0;19.0;7.0;219.0;31.0;19300.34;6.0;7.0;17.0;5.0;9.95;2430.21;Poor
51.0;19.0;7.0;221.0;31.0;19300.34;6.0;7.0;17.0;5.0;9.95;2430.21;Standard
51.0;19.0;7.0;221.0;31.0;19300.34;6.0;7.0;17.0;5.0;9.95;2430.21;Poor
51.0;17.0;8.0;223.0;31.0;19300.34;6.0;7.0;17.0;5.0;9.95;2430.21;Poor
51.0;19.0;8.0;224.0;31.0;19300.34;6.0;7.0;17.0;5.0;9.95;2430.21;Poor
53.0;19.0;8.0;225.0;31.0;19300.34;6.0;7.0;17.0;5.0;9.95;2430.21;Standard
30.0;12.0;2.0;231.0;41.0;19514.88;7.0;5.0;17.0;0.0;4.17;881.4;Standard
30.0;14.0;2.0;232.0;41.0;19514.88;7.0;5.0;17.0;0.0;4.17;881.4;Standard
30.0;12.0;2.0;233.0;41.0;19514.88;7.0;5.0;17.0;0.0;4.17;881.4;Standard
30.0;12.0;2.0;234.0;41.0;19514.88;7.0;5.0;17.0;0.0;4.17;881.4;Poor
30.0;12.0;2.0;235.0;41.0;19514.88;7.0;5.0;17.0;0.0;4.17;881.4;Poor
30.0;12.0;2.0;236.0;41.0;19514.88;7.0;5.0;17.0;0.0;4.17;881.4;Poor
30.0;15.0;2.0;237.0;41.0;19514.88;7.0;5.0;17.0;0.0;4.17;881.4;Poor
26.0;11.0;4.0;238.0;41.0;19514.88;7.0;5.0;17.0;0.0;4.17;881.4;Poor
48.0;18.0;6.0;121.0;41.0;10183015,00;7.0;5.0;17.0;5.0;7.97;1672.43;Poor
48.0;18.0;6.0;122.0;41.0;10183015,00;7.0;5.0;17.0;5.0;7.97;1672.43;Poor
48.0;23.0;6.0;123.0;41.0;10183015,00;7.0;5.0;17.0;5.0;7.97;1672.43;Poor
43.0;20.0;6.0;124.0;41.0;10183015,00;7.0;5.0;17.0;5.0;7.97;1672.43;Standard
51.0;20.0;6.0;125.0;41.0;10183015,00;7.0;5.0;17.0;5.0;7.97;1672.43;Poor
48.0;24.0;6.0;126.0;41.0;10183015,00;7.0;5.0;17.0;5.0;7.97;1672.43;Poor
52.0;21.0;6.0;127.0;41.0;10183015,00;7.0;5.0;17.0;5.0;7.97;1672.43;Poor
48.0;21.0;6.0;128.0;41.0;10183015,00;7.0;5.0;17.0;5.0;7.97;1672.43;Poor
10.0;8.0;0.0;393.0;20.0;106733.13;4.0;4.0;1.0;0.0;0.86;76.23;Good
5.0;7.0;0.0;394.0;20.0;106733.13;4.0;4.0;1.0;0.0;0.86;76.23;Good
2.0;6.0;0.0;395.0;20.0;106733.13;4.0;4.0;1.0;0.0;0.86;76.23;Good
5.0;7.0;0.0;396.0;20.0;106733.13;4.0;4.0;1.0;0.0;0.86;76.23;Good
5.0;6.0;0.0;397.0;20.0;106733.13;4.0;4.0;1.0;0.0;0.86;76.23;Good
5.0;6.0;0.0;397.0;20.0;106733.13;4.0;4.0;1.0;0.0;0.86;76.23;Standard
9.0;4.0;1.0;397.0;20.0;106733.13;4.0;4.0;1.0;0.0;0.86;76.23;Standard
7.0;6.0;1.0;400.0;20.0;106733.13;4.0;4.0;1.0;0.0;0.86;76.23;Standard
28.0;19.0;7.0;147.0;32.0;12600445,00;5.0;5.0;10.0;3.0;15.79;569.8;Standard
25.0;18.0;7.0;148.0;32.0;12600445,00;5.0;5.0;10.0;3.0;15.79;569.8;Standard
25.0;16.0;7.0;149.0;32.0;12600445,00;5.0;5.0;10.0;3.0;15.79;569.8;Standard
25.0;18.0;7.0;150.0;32.0;12600445,00;5.0;5.0;10.0;3.0;15.79;569.8;Poor
20.0;19.0;7.0;151.0;32.0;12600445,00;5.0;5.0;10.0;3.0;15.79;569.8;Poor
25.0;19.0;7.0;152.0;32.0;12600445,00;5.0;5.0;10.0;3.0;15.79;569.8;Poor
25.0;20.0;7.0;152.0;32.0;12600445,00;5.0;5.0;10.0;3.0;15.79;569.8;Poor
25.0;19.0;11.0;154.0;32.0;12600445,00;5.0;5.0;10.0;3.0;15.79;569.8;Poor
47.0;19.0;12.0;147.0;34.0;57983.12;9.0;8.0;31.0;8.0;7.27;3532.83;Poor
53.0;21.0;12.0;147.0;34.0;57983.12;9.0;8.0;31.0;8.0;7.27;3532.83;Standard
48.0;21.0;17.0;148.0;34.0;57983.12;9.0;8.0;31.0;8.0;7.27;3532.83;Poor
48.0;22.0;17.0;149.0;34.0;57983.12;9.0;8.0;31.0;8.0;7.27;3532.83;Poor
48.0;21.0;17.0;150.0;34.0;57983.12;9.0;8.0;31.0;8.0;7.27;3532.83;Poor
46.0;21.0;17.0;151.0;34.0;57983.12;9.0;8.0;31.0;8.0;7.27;3532.83;Standard
49.0;21.0;17.0;152.0;34.0;57983.12;9.0;8.0;31.0;8.0;7.27;3532.83;Standard
48.0;24.0;17.0;153.0;34.0;57983.12;9.0;8.0;31.0;8.0;7.27;3532.83;Poor
22.0;14.0;3.0;214.0;48.0;20787.69;8.0;6.0;14.0;3.0;1.13;614.6;Standard
24.0;14.0;3.0;215.0;48.0;20787.69;8.0;6.0;14.0;3.0;1.13;614.6;Standard
22.0;14.0;3.0;215.0;48.0;20787.69;8.0;6.0;14.0;3.0;1.13;614.6;Standard
22.0;12.0;3.0;217.0;48.0;20787.69;8.0;6.0;14.0;3.0;1.13;614.6;Standard
22.0;14.0;3.0;218.0;48.0;20787.69;8.0;6.0;14.0;3.0;1.13;614.6;Standard
22.0;14.0;3.0;218.0;48.0;20787.69;8.0;6.0;14.0;3.0;1.13;614.6;Standard
23.0;14.0;3.0;218.0;48.0;20787.69;8.0;6.0;14.0;3.0;1.13;614.6;Standard
22.0;14.0;3.0;221.0;48.0;20787.69;8.0;6.0;14.0;3.0;1.13;614.6;Standard
52.0;10.0;9.0;164.0;30.0;34290.12;9.0;8.0;25.0;7.0;13.96;2686.81;Poor
47.0;10.0;9.0;164.0;30.0;34290.12;9.0;8.0;25.0;7.0;13.96;2686.81;Standard
52.0;6.0;9.0;164.0;30.0;34290.12;9.0;8.0;25.0;7.0;13.96;2686.81;Standard
52.0;7.0;9.0;167.0;30.0;34290.12;9.0;8.0;25.0;7.0;13.96;2686.81;Poor
52.0;12.0;9.0;168.0;30.0;34290.12;9.0;8.0;25.0;7.0;13.96;2686.81;Poor
52.0;12.0;9.0;169.0;30.0;34290.12;9.0;8.0;25.0;7.0;13.96;2686.81;Poor
52.0;12.0;13.0;170.0;30.0;34290.12;9.0;8.0;25.0;7.0;13.96;2686.81;Standard
52.0;9.0;13.0;171.0;30.0;34290.12;9.0;8.0;25.0;7.0;13.96;2686.81;Poor
11.0;8.0;4.0;230.0;32.0;43070.24;3.0;3.0;18.0;1.0;8.97;1233.1;Standard
13.0;8.0;4.0;231.0;32.0;43070.24;3.0;3.0;18.0;1.0;8.97;1233.1;Standard
15.0;8.0;4.0;232.0;32.0;43070.24;3.0;3.0;18.0;1.0;8.97;1233.1;Standard
11.0;8.0;4.0;233.0;32.0;43070.24;3.0;3.0;18.0;1.0;8.97;1233.1;Standard
10.0;8.0;8.0;234.0;32.0;43070.24;3.0;3.0;18.0;1.0;8.97;1233.1;Standard
8.0;8.0;8.0;235.0;32.0;43070.24;3.0;3.0;18.0;1.0;8.97;1233.1;Standard
11.0;8.0;8.0;236.0;32.0;43070.24;3.0;3.0;18.0;1.0;8.97;1233.1;Standard
11.0;8.0;8.0;237.0;32.0;43070.24;3.0;3.0;18.0;1.0;8.97;1233.1;Standard
25.0;12.0;0.0;363.0;40.0;28572.39;6.0;3.0;15.0;3.0;4.89;400.07;Standard
25.0;9.0;0.0;364.0;40.0;28572.39;6.0;3.0;15.0;3.0;4.89;400.07;Standard
28.0;10.0;0.0;365.0;40.0;28572.39;6.0;3.0;15.0;3.0;4.89;400.07;Standard
25.0;14.0;0.0;366.0;40.0;28572.39;6.0;3.0;15.0;3.0;4.89;400.07;Standard
25.0;12.0;2.0;367.0;40.0;28572.39;6.0;3.0;15.0;3.0;4.89;400.07;Standard
25.0;11.0;2.0;368.0;40.0;28572.39;6.0;3.0;15.0;3.0;4.89;400.07;Standard
25.0;13.0;2.0;368.0;40.0;28572.39;6.0;3.0;15.0;3.0;4.89;400.07;Standard
25.0;12.0;2.0;370.0;40.0;28572.39;6.0;3.0;15.0;3.0;4.89;400.07;Standard
61.0;13.0;6.0;105.0;37.0;39641.54;10.0;8.0;25.0;6.0;1.54;2258.73;Poor
61.0;16.0;8.0;105.0;37.0;39641.54;10.0;8.0;25.0;6.0;1.54;2258.73;Poor
61.0;15.0;8.0;106.0;37.0;39641.54;10.0;8.0;25.0;6.0;1.54;2258.73;Poor
61.0;16.0;8.0;107.0;37.0;39641.54;10.0;8.0;25.0;6.0;1.54;2258.73;Poor
61.0;16.0;8.0;108.0;37.0;39641.54;10.0;8.0;25.0;6.0;1.54;2258.73;Standard
61.0;16.0;8.0;109.0;37.0;39641.54;10.0;8.0;25.0;6.0;1.54;2258.73;Poor
61.0;14.0;8.0;109.0;37.0;39641.54;10.0;8.0;25.0;6.0;1.54;2258.73;Poor
61.0;13.0;8.0;111.0;37.0;39641.54;10.0;8.0;25.0;6.0;1.54;2258.73;Poor
5.0;6.0;4.0;219.0;55.0;20186.02;1.0;5.0;1.0;2.0;6.83;413.32;Good
5.0;6.0;4.0;220.0;55.0;20186.02;1.0;5.0;1.0;2.0;6.83;413.32;Standard
4.0;3.0;4.0;221.0;55.0;20186.02;1.0;5.0;1.0;2.0;6.83;413.32;Good
5.0;6.0;4.0;222.0;55.0;20186.02;1.0;5.0;1.0;2.0;6.83;413.32;Good
5.0;7.0;4.0;223.0;55.0;20186.02;1.0;5.0;1.0;2.0;6.83;413.32;Standard
5.0;7.0;4.0;224.0;55.0;20186.02;1.0;5.0;1.0;2.0;6.83;413.32;Good
5.0;6.0;4.0;225.0;55.0;20186.02;1.0;5.0;1.0;2.0;6.83;413.32;Standard
5.0;6.0;4.0;225.0;55.0;20186.02;1.0;5.0;1.0;2.0;6.83;413.32;Standard
31.0;21.0;7.0;225.0;43.0;18627.64;7.0;7.0;19.0;6.0;5.07;1793.54;Poor
31.0;21.0;7.0;226.0;43.0;18627.64;7.0;7.0;19.0;6.0;5.07;1793.54;Poor
31.0;21.0;7.0;227.0;43.0;18627.64;7.0;7.0;19.0;6.0;5.07;1793.54;Poor
31.0;22.0;7.0;228.0;43.0;18627.64;7.0;7.0;19.0;6.0;5.07;1793.54;Standard
31.0;22.0;7.0;229.0;43.0;18627.64;7.0;7.0;19.0;6.0;5.07;1793.54;Poor
31.0;21.0;7.0;230.0;43.0;18627.64;7.0;7.0;19.0;6.0;5.07;1793.54;Poor
26.0;21.0;7.0;231.0;43.0;18627.64;7.0;7.0;19.0;6.0;5.07;1793.54;Poor
31.0;18.0;7.0;232.0;43.0;18627.64;7.0;7.0;19.0;6.0;5.07;1793.54;Poor
30.0;14.0;5.0;104.0;21.0;12986745,00;4.0;3.0;10.0;2.0;11.8;1489.49;Standard
29.0;17.0;7.0;105.0;21.0;12986745,00;4.0;3.0;10.0;2.0;11.8;1489.49;Standard
